,company,description,website,region,year-selected,vertical,sub-vertical,entrepreneurs,fund,financing-round,status,year-invested
240,CyberGRX,CyberGRX provides enterprises and their third parties with cybersecurity and risk management software.,https://www.cybergrx.com/,U.S. & Canada,2020.0,Enterprise Software & Services,Security,"['{""name"": ""Fred Kneip"", ""url"": ""https://www.linkedin.com/in/fred-kneip-411a8322/""}']",,,,
241,Cyest,Cyest is a technology consultancy that innovates and integrates industry-specific technology and superlative business systems to build the strongest possible value propositions for clients.,http://www.cyestcorp.com,Africa,2006.0,Enterprise Software & Services,Business Services & Consulting,"['{""name"": ""Andreas Cambitsis"", ""url"": ""https://www.linkedin.com/in/andreas-cambitsis-2855672/?originalSubdomain=za""}', '{""name"": ""Elton Bondi"", ""url"": ""https://www.linkedin.com/in/elton-bondi-384401168/?originalSubdomain=za""}']",,,,
242,D-Orbit,"D-Orbit is a satellite technology provider for the traditional and new space sectors. It develops and supplies launching, decommissioning, and life extension devices to help satellite operators and agencies manage the end of their satellite’s life.",http://www.deorbitaldevices.com/,Europe,2016.0,Smart City,Hardware,"['{""name"": ""Renato Panesi"", ""url"": ""https://www.linkedin.com/in/renatopanesi/""}', '{""name"": ""Luca Rossettini"", ""url"": ""https://www.linkedin.com/in/lucarossettini/""}']",,,,
243,DANA,"DANA is a digitial wallet all-in-one app that enables customers to safely make cashless and cardless payments for everyday needs such as offline purchases, mobile top ups, and bill payments.",https://www.dana.id/career,Asia,2019.0,Fintech,Payments,"['{""name"": ""Vincent Iswaratioso"", ""url"": ""https://www.linkedin.com/in/viswaratioso""}']",,,,
244,DGPays,"DGPays is a Fintech software solutions provider with multiple product and platform solutions such as payment gateways & services, ATM, Card, & POS solutions, and more.",https://dgpays.com/,Europe,2021.0,Fintech,Banking,"['{""name"": ""Serkan Omerbeyoglu"", ""url"": ""https://www.linkedin.com/in/serkanomerbeyoglu/""}']",Fund III,Series A,Status: Active,Invested: 2021
245,DROUGHT,"DROUGHT manufactures cold-pressed fruit and vegetable juice, non-thermally processed to extend the shelf life without degrading nutrients and enzymes, providing consumers with healthy, glass-bottled products.",http://www.droughtjuice.com/,U.S. & Canada,2016.0,Food & Beverage,CPG & Consumer Products,"['{""name"": ""Julie James"", ""url"": ""https://www.linkedin.com/in/juliejamesdrought/""}', '{""name"": ""Jenny James"", ""url"": ""https://www.linkedin.com/in/jenny-james-94229220b/""}', '{""name"": ""Jessie James"", ""url"": ""https://www.linkedin.com/in/jessie-james-7818841a5/""}', '{""name"": ""Caitlin James"", ""url"": ""https://www.linkedin.com/in/caitlin-james-06a1601b/""}']",,,,
246,DRUID,"DRUID is an end-to-end platform for building AI-driven conversational business applications, designed to deliver next-level employee productivity and total customer experience in the most intuitive way.",https://tracking.cirrusinsight.com/f5923c0a-4220-4f3e-8053-05400728bb51/druidai-com,Europe,2022.0,Enterprise Software & Services,Business Process Management,"['{""name"": ""Liviu Dragan"", ""url"": ""https://www.linkedin.com/in/liviudragan/""}', '{""name"": ""Andreea Plesea"", ""url"": ""https://www.linkedin.com/in/andreea-plesea-phd/""}', '{""name"": ""Daniel Balaceanu"", ""url"": ""https://www.linkedin.com/in/dan-balaceanu-4362651/""}']",,,,
247,DabaDoc,DabaDoc is an online appointment booking platform for patients to find the doctor of their choice.,https://www.dabadoc.com/,Africa,2019.0,Healthcare,Digital Health and Telehealth,"['{""name"": ""Zineb Drissi Kaitouni"", ""url"": ""https://www.linkedin.com/in/zineb-drissi-kaitouni-017b7769/""}']",,,,
248,Daniel Espinosa Jewelry,Daniel Espinosa Jewelry is a jewelry and accessories brand in Mexico.,http://www.danielespinosa.com,Latin America,2004.0,Retail & Consumer Tech,Fashion & Apparel,"['{""name"": ""Maximo Sanchez Miranda"", ""url"": """"}', '{""name"": ""Daniel Espinosa de los Monteros"", ""url"": ""https://www.linkedin.com/in/daniel-espinosa-de-los-monteros-1a91257/?originalSubdomain=mx""}']",,,,
249,Data Appeal,"Data Appeal provides clients with Human Experience Intelligence, using its technology stack to monitor and interpret a unique blend of geographical data, online feedback, customer purchasing behaviors and trends worldwide.",http://www.datappeal.io,Europe,2019.0,Enterprise Software & Services,Business Intelligence Tools,"['{""name"": ""Mirko Lalli"", ""url"": ""https://www.linkedin.com/in/mirkolalli/?originalSubdomain=it""}']",,,,
250,Datamyne,Datamyne sells foreign trade information for companies. The company was acquired in 2016 by Descartes Systems Group Canada.,https://www.datamyne.com/,Latin America,2003.0,Enterprise Software & Services,Business Intelligence Tools,"['{""name"": ""Pablo Milburn"", ""url"": ""http://www.linkedin.com/pub/pablo-milburn/1/672/912""}']",,,,
251,Daystar Power,"Daystar Power provides solar power and energy efficiency solutions for West African businesses in the commercial, industrial, and agricultural sectors, resulting in significant reduction of power costs, diesel consumption and pollution.",https://www.daystar-power.com/,Africa,2020.0,Smart City,Energy,"['{""name"": ""Christian Wessels"", ""url"": ""https://www.linkedin.com/in/christian-wessels-0024746/""}', '{""name"": ""Jasper Graf von Hardenberg"", ""url"": ""https://www.linkedin.com/in/jasperhardenberg/""}']",,,,
252,Dekoruma,Dekoruma is a furniture and home decor marketplace with a platform which matches homeowners with over 2K+ interior designers that leverage Dekoruma’s real-time design platform.,https://www.dekoruma.com/,Asia,2021.0,Retail & Consumer Tech,Household & Office,"['{""name"": ""Dimas Harry Priawan"", ""url"": ""https://www.linkedin.com/in/dimashp/""}', '{""name"": ""Aruna Harsa"", ""url"": ""https://www.linkedin.com/in/arunaharsa/""}']",,,,
253,DeliverLean,"DeliverLean empowers customers to eat well and live healthy lives. The company prepares and distributes nutrient-dense, gourmet meals and sells cold-pressed juices and raw vegan snacks at select retail locations nationwide.",http://www.deliverlean.com/,U.S. & Canada,2014.0,Food & Beverage,Meal Delivery & Alternative Models,"['{""name"": ""Scott Harris"", ""url"": ""https://www.linkedin.com/in/scott-harris-65431748/""}']",,,,
254,Dermage,"Dermage develops, produces, and sells a full line of prescription and non-prescription skin and hair care products specifically designed for the Brazilian complexion.",http://www.dermage.com.br,Latin America,2008.0,Retail & Consumer Tech,Wellness & Beauty,"['{""name"": ""Ilana Braun"", ""url"": ""https://www.linkedin.com/in/ilana-braun-983b7a1/""}', '{""name"": ""Lisabeth Braun"", ""url"": ""https://www.linkedin.com/in/lisabeth-braun-7186b829/""}', '{""name"": ""Walter Braun"", ""url"": ""https://www.linkedin.com/in/walter-braun-a5952b7/""}']",,,,
255,Descomplica,Descomplica is a full-service ed-tech platform that transfers Brazil’s education system online.,https://descomplica.com.br/,Latin America,2017.0,Education & Talent,Higher Education,"['{""name"": ""Marco Fisbhen"", ""url"": ""https://www.linkedin.com/in/marcofisbhen/""}']",Fund II,Series D+,Status: Active,Invested: 2018
256,Desinchá Company,Desinchá Dia makes a functional tea made from eight simple ingredients and sold in packages of 60 tea bags per box to help consumers create a new daily habit.,https://www.desincha.com.br/,Latin America,2019.0,Food & Beverage,CPG & Consumer Products,"['{""name"": ""Lohran Schmidt"", ""url"": ""https://www.linkedin.com/in/lohrans/""}', '{""name"": ""Eduardo Mendes Diniz"", ""url"": ""https://www.linkedin.com/in/eduardomendesdiniz/""}']",,,,
257,Digital House,Digital House is a coding school designed to train a new generation of technology professionals in Latin America.,https://www.susanabalbowines.com.ar/,Latin America,2017.0,Education & Talent,Workforce,"['{""name"": ""Eduardo Bruchou"", ""url"": ""https://www.linkedin.com/in/eduardo-bruchou-a3062110b/""}', '{""name"": ""Nelson Dubosq"", ""url"": ""https://www.linkedin.com/in/nelson-duboscq-a6080829/""}']",Fund II,Series B,Status: Active,Invested: 2017
258,Dito,Dito CRM is a technology company that offers an online platform to help companies identify the profile of their consumers in order to target retention marketing.,http://www.dito.com.br,Latin America,2019.0,Enterprise Software & Services,Customer Relationship Management,"['{""name"": ""Andr\\u00e9 Fonseca"", ""url"": ""https://www.linkedin.com/in/andredito/?originalSubdomain=br,""}', '{""name"": ""Bruno Andrade Alves"", ""url"": ""https://www.linkedin.com/in/brunoaalves/?originalSubdomain=br""}']",,,,
259,DocNetwork,"DocNetwork is a comprehensive electronic health record system, offering solutions to improve efficiency and maximize safety in local camp, child care and school communities.",https://www.docnetwork.org/,U.S. & Canada,2018.0,Education & Talent,K-12,"['{""name"": ""Michael Ambrose"", ""url"": ""https://www.linkedin.com/in/michaeljaredambrose/""}', '{""name"": ""Kirsten Pearson"", ""url"": ""https://www.linkedin.com/in/kirsten-pearson/""}']",,,,
260,Doce d’ocê,"Doce d’ocê white labels products for supermarket bakeries, employing a fully centralized production using deep freezing technology.",http://www.docedoce.ind.br,Latin America,2011.0,Food & Beverage,CPG & Consumer Products,"['{""name"": ""Noeli Bazanella"", ""url"": ""https://www.linkedin.com/in/noeli-bazanella-8a03b4a0/""}', '{""name"": ""Carlos Bazanella"", ""url"": ""https://www.linkedin.com/in/carlos-roberto-bazanella-734033217/""}']",,,,
261,Docket,"Docket is a Brazilian LegalTech SaaS company that provides eNotary Infrastructure and document management services, helping clients cut through bureaucracy and achieve regulatory compliance with ease.",https://docket.com.br/,Latin America,2021.0,Enterprise Software & Services,Business Process Management,"['{""name"": ""Flavio Castaldi"", ""url"": ""https://www.linkedin.com/in/delton-flavio-castaldi-filho/""}', '{""name"": ""Rodrigo Lopes"", ""url"": ""https://www.linkedin.com/in/pedroroso/""}', '{""name"": ""Pedro Roso"", ""url"": ""https://www.linkedin.com/in/pedroroso/""}']",,,,
262,Docsity,Docsity is an online platform for students to access and share resources with their peers globally.,https://www.docsity.com/it/,Europe,2019.0,Education & Talent,Higher Education,"['{""name"": ""Riccardo Ocleppo"", ""url"": ""https://www.linkedin.com/in/riccardoocleppo/""}']",,,,
263,Dominio del Plata,Dominio del Plata is a boutique winery dedicated to the production of high quality wines.,https://www.susanabalbowines.com.ar/,Latin America,2003.0,Food & Beverage,CPG & Consumer Products,"['{""name"": ""Susana Balbo"", ""url"": ""http://ar.linkedin.com/pub/susana-balbo/0/104/b22""}']",,,,
264,Don’t Worry,"Don’t Worry makes great-tasting, low-calorie snacks to satisfy the Mexican population’s growing demand for healthier snacking alternatives.",http://www.dontworry.com.mx/index.php,Latin America,2015.0,Food & Beverage,CPG & Consumer Products,"['{""name"": ""Diego Arroyo"", ""url"": ""https://www.linkedin.com/in/diarroyo/""}', '{""name"": ""Santiago Arroyo"", ""url"": ""https://www.linkedin.com/in/saarroyo/""}']",,,,
265,Dosfarma,Dosfarma is an online pharmacy that aims to make everything – from cosmetics to over the counter drugs – accessible and convenient for Spanish consumers.,http://www.dosfarma.com/,Europe,2020.0,Healthcare,Consumer Health and Wellness,"['{""name"": ""Juan Desmonts"", ""url"": ""https://www.linkedin.com/in/juan-desmonts-salazar-60442058/""}']",,,,
266,DoveVivo,"DoveVivo creates a simple way for real estate owners to fill vacant apartments, while providing medium- and long-term rental solutions for students and young professionals across European cities.",https://www.dovevivo.it/,Europe,2018.0,Retail & Consumer Tech,Real Estate,"['{""name"": ""Valerio Fonseca"", ""url"": ""https://www.linkedin.com/in/valerio-fonseca/""}']",,,,
267,Drillco Tools,"Drillco designs and manufactures high-quality mining products and tools, offering custom-made solutions for industries such as oil & gas, geothermal, quarries, waterwell, and civil engineering drilling.",http://www.drillcotools.com,Latin America,2003.0,Smart City,Hardware,"['{""name"": ""Rolando Carmona"", ""url"": ""https://www.linkedin.com/in/rolando-carmona-2ba58717/""}', '{""name"": ""Trinidad Carmona"", ""url"": """"}']",,,,
268,DryWash,DryWash offers the first fast carwash service using ecologically conscious products and no water.,http://www.drywash.com.br,Latin America,2002.0,Retail & Consumer Tech,Services & Task Platforms,"['{""name"": ""Lito Rodriguez"", ""url"": ""https://www.linkedin.com/in/litorodriguez/?originalSubdomain=br""}']",,,,
269,Dscaff Engineering,"Dscaff designs and manufactures modular scaffolding equipment for the oil & gas, infrastructure, energy and construction industries throughout SEA.",http://www.dscaff.com/,Asia,,Smart City,Equipment & Machinery,"['{""name"": ""Sunderaj Nagalingam"", ""url"": ""https://www.linkedin.com/in/nsunderaj/""}', '{""name"": ""Chris Hillier"", ""url"": """"}']",,,,
270,Dsquares,"Dsquares offers loyalty programs that bring customers closer to their consumers. Dsquares’ solutions diversify from full loyalty programs, user friendly couponing solutions to differentiated directory assistance services.",http://www.dsquares.com/,Middle East,2019.0,Enterprise Software & Services,Customer Relationship Management,"['{""name"": ""Marwan Kenawy"", ""url"": ""https://eg.linkedin.com/in/marwan-kenawy-59273711""}']",,,,
271,Dubai Desert Extreme (DDE),Dubai Desert Extreme (DDE) is a distributor and retailer of sporting goods in the MENA region.,http://www.dde-me.com/,Middle East,2014.0,Retail & Consumer Tech,Fashion & Apparel,"['{""name"": ""Sahin Khodjasteh"", ""url"": """"}', '{""name"": ""Shahriar Kohodjasteh"", ""url"": ""https://www.linkedin.com/in/shahriar-khodjasteh-b89bb234/""}']",,,,
272,Dugun.com,"Düğün.com is the biggest wedding planning platform in Turkey, connecting wedding vendors to engaged couples.",http://dugun.com,Europe,2014.0,Retail & Consumer Tech,Services & Task Platforms,"['{""name"": ""Emek K\\u0131rb\\u0131y\\u0131k"", ""url"": ""https://www.linkedin.com/in/emek-kirbiyik-53a74556/""}']",,,,
273,Duplays,"Duplays organizes fitness, sport & social activities.",http://www.duplays.com,Middle East,2013.0,Healthcare,Consumer Health and Wellness,"['{""name"": ""Ravi Bhusari"", ""url"": ""https://www.linkedin.com/in/ravibhusari/""}', '{""name"": ""Derv Rhao"", ""url"": ""https://www.linkedin.com/in/dervrao/""}']",,,,
274,Dust+Cream,"Dust+Cream is a cosmetics retailer, catered towards young Greek women who are looking for quality beauty products at an affordable price.",http://www.dustandcream.com,Europe,2018.0,Retail & Consumer Tech,Wellness & Beauty,"['{""name"": ""Leandros Karakatsanis"", ""url"": ""https://www.linkedin.com/in/leandros-karakatsanis-35478349/""}', '{""name"": ""Vasilis Karakatsanis"", ""url"": ""https://www.linkedin.com/in/vasilis-karakatsanis-a7791545/""}']",,,,
275,Dynamo,Dynamo’s mission is to provide the world with high-quality entertainment from Latin America.,https://www.dynamo.net,Latin America,2009.0,Retail & Consumer Tech,Media & Entertainment,"['{""name"": ""Cristian Conti Walli"", ""url"": ""https://www.linkedin.com/in/cristian-conti-420334/""}', '{""name"": ""Diego Ram\\u00edrez Schrempp"", ""url"": ""https://www.linkedin.com/in/diego-ramirez-schrempp-6092515/?originalSubdomain=co""}', '{""name"": ""Andr\\u00e9s Calder\\u00f3n Rodr\\u00edgue"", ""url"": """"}']",,,,
276,EAT Restaurant Group,"EAT Restaurant Group owns and operates 43 restaurants under 9 distinct brands globally. In 2019, EAT also introduced 3 virtual brands through cloud-based kitchens.",http://eat-jo.com/,Middle East,2013.0,Food & Beverage,Food Service,"['{""name"": ""Omar Tabbaa"", ""url"": ""https://www.linkedin.com/in/omar-tabbaa-68331b30/?originalSubdomain=jo""}']",,,,
277,ELSA,ELSA is a mobile application for English pronunciation training.,https://vn.elsaspeak.com/en/homepage/,Asia,2020.0,Education & Talent,Lifelong Learning,"['{""name"": ""Vu Van"", ""url"": ""https://www.linkedin.com/in/hongvuvan142/""}']",Fund III,Series B,Status: Active,Invested: 2021
278,ENA,"ENA is a nutrition, health and wellness group company that manufactures, distributes and sells nutritional products.",https://www.laboratorioena.com/,Latin America,2017.0,Healthcare,Consumer Health and Wellness,"['{""name"": ""Martin Fidani"", ""url"": ""https://www.linkedin.com/in/martinfidani/""}']",,,,
279,EZYTEC,"EZYTEC is a Colombian engineering firm specialized in design, development, support, and marketing of automated parking payment systems and multifunctional ATMs customizable to any business model and customer need.",https://www.ezytec.co/,Latin America,2015.0,Smart City,Mobility,"['{""name"": ""Hugo Cortes"", ""url"": ""https://www.linkedin.com/in/hugo-cortes-22662536/""}']",,,,
280,Eastwood Schools,Eastwood Schools is a collection of K-12 private IB World schools that utilize tech-enabled learning methodologies to modernize education and improve engagement in Lebanon and the region.,http://eastwoodschools.com/,Middle East,2017.0,Education & Talent,K-12,"['{""name"": ""Michel Khoury"", ""url"": ""https://www.linkedin.com/in/drmichelkhoury/""}']",,,,
281,Easyuni,EasyUni is an online university search portal that aggregates information for prospective students to compare and choose courses and facilitate an end-to-end application process.,https://easyuni.com/,Asia,2015.0,Education & Talent,Higher Education,"['{""name"": ""Edwin Tay"", ""url"": ""https://www.linkedin.com/in/tayedwin/""}']",,,,
282,Ebanx,"EBANX offers end-to-end payment solutions across the entire cross-border eCommerce transaction flow, providing global merchants expanding across LatAm with local payment options.",http://www.ebanx.com,Latin America,2012.0,Fintech,Payments,"['{""name"": ""Jo\\u00e3o Guilherme Del Valle"", ""url"": ""https://www.linkedin.com/in/joaodelvalle""}', '{""name"": ""Wagner Alexis Ruiz"", ""url"": ""https://www.linkedin.com/in/wagruiz""}', '{""name"": ""Alphonse Guilherme Voigt"", ""url"": ""https://www.linkedin.com/in/alphonse-voigt-b1499627""}']",Fund II,Series A,Status: Active,Invested: 2018
283,Ebizmarts,"Ebizmarts provides retailers with Point-of-Sale software and related app to connect any of their physical and online stores, enabling them to sell more and be more profitable.",https://ebizmarts.com,Latin America,2015.0,Fintech,Payments,"['{""name"": ""Ignacio de Paula"", ""url"": ""https://www.linkedin.com/in/ebizmarts""}', '{""name"": ""Eli Barnett"", ""url"": ""https://www.linkedin.com/in/elibarnett""}']",,,,
284,Eco-lógica,"Eco-Lógica provides an end-to-end corporate waste management solution that allows clients to dispose of waste safely and efficiently, while helping them comply with environmental policies.",http://www.eco-logica.cl,Latin America,2014.0,Smart City,Water & Waste Management,"['{""name"": ""Francisco Mar\\u00edn"", ""url"": ""https://www.linkedin.com/in/franciscoramos/""}', '{""name"": ""Juan Pablo Mar\\u00edn"", ""url"": ""https://www.linkedin.com/in/juan-pablo-marin-137b0511b/""}']",,,,
285,EcoSystems,"EcoSystems is a leading provider of water and energy conservation services in the US. The company designs and implements savings programs, including Freddie/Fannie green loan program, for the multifamily apartment, hotel, nursing home and condominium industries.",https://www.ecosystems.com/,U.S. & Canada,2018.0,Smart City,Water & Waste Management,"['{""name"": ""Lawrence Lamondin"", ""url"": ""https://www.linkedin.com/in/lawrence-lamondin-02aa1054/""}', '{""name"": ""Richard Lamondin"", ""url"": ""https://www.linkedin.com/in/richard-lamondin-jr-7a1b221a/""}']",,,,
286,Ecocoast,"Ecocoast specializes in engineering, manufacturing, and installing sustainable solutions for companies in the marine industry.",http://ecocoast.com/,Middle East,2017.0,Smart City,Constructech,"['{""name"": ""Lachlan Jackson"", ""url"": ""https://www.linkedin.com/in/lach-jackson/""}', '{""name"": ""Diana Liparts"", ""url"": """"}']",,,,
287,Ecomobi Corporation PTE. LTD,"Ecomobi is a social selling platform that connects influencers/content creators to brands and e-commerce merchants, enabling them to sell and advertise their products directly to customers.",https://ecomobi.com/,Asia,2019.0,Enterprise Software & Services,AdTech & MarTech,"['{""name"": ""Thanh Truong"", ""url"": ""https://www.linkedin.com/in/thanhtc/?originalSubdomain=sg""}']",,,,
288,Econduce,Econduce is a sustainable urban transportation company that runs a network of shared electric scooters.,https://econduce.mx/,Latin America,2016.0,Smart City,Mobility,"['{""name"": ""Eduardo Porta"", ""url"": ""https://www.linkedin.com/in/eduardoporta/""}']",,,,
289,Ecopacific,Ecopacific is Ecuador’s leading juice company which vertically integrates its processes and develops an end-to-end value chain.,https://ecopacific.com.ec/,Latin America,2018.0,Food & Beverage,CPG & Consumer Products,"['{""name"": ""Jos\\u00e9 Barcia"", ""url"": ""https://www.linkedin.com/in/jose-r-barcia-jarre-3707551a/""}', '{""name"": ""Kevin Barcia"", ""url"": ""https://www.linkedin.com/in/kevin-barcia-143b49127/?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAB9QtYMBKVMIjZlaK-MnjrehKxnBgrWr55E""}']",,,,
290,EdjSports,"EDJ Analytics develops customized algorithms for clients who want to use their internal data to help inform decision-making. The company uses a game-based approach, turning business problems into easily solvable games that customers can understand and decipher on their own.",https://edjanalytics.com/,U.S. & Canada,2016.0,Enterprise Software & Services,Business Intelligence Tools,"['{""name"": ""Sean O\'Leary"", ""url"": ""https://www.linkedin.com/in/sean-o-leary-ab84528/""}']",,,,
291,Ekar,"Ekar provides a pay-as-you-drive hourly and daily car rental service. Users can search, book, and unlock cars safely through a smartphone app and installed technology in rental cars.",https://ekar.me/,Middle East,2020.0,Smart City,Mobility,"['{""name"": ""Vilhelm Hedberg"", ""url"": ""https://www.linkedin.com/in/vilhelm-hedberg-82a27b9/""}']",,,,
292,Ekuep,Ekuep is a leading eCommerce site in the Middle East that sells commercial coffee and restaurant equipment to businesses and consumers.,http://www.ekuep.com/,Middle East,2019.0,Retail & Consumer Tech,Household & Office,"['{""name"": ""Muthanna Alraqtan"", ""url"": ""https://www.linkedin.com/company/ekuep/""}']",,,,
293,El Toro,El Toro gives advertisers the ability to target their intended online customer base by onboarding and matching CRM data with realtime IP address location for true one-to-one marketing.,http://www.eltoro.com,U.S. & Canada,2016.0,Enterprise Software & Services,AdTech & MarTech,"['{""name"": ""Stacy Griggs"", ""url"": ""https://www.linkedin.com/in/stacygriggs/""}']",,,,
294,El Yaman Group,"El Yaman Group is a one-stop shop for complete package and label printing solutions, from design to post-press services.",https://ymn-group.com/,Middle East,2017.0,Retail & Consumer Tech,Household & Office,"['{""name"": ""Mohamad El Yaman"", ""url"": ""https://www.linkedin.com/in/mohamad-yaman-026b693a/""}']",,,,
295,Elcir,"Elcir supplies, decorates, and furnishes upscale hotels, high-end residential units, office towers, and public buildings throughout the world with wood works and interior furniture.",http://www.elcir.com,Middle East,2014.0,Smart City,Constructech,"['{""name"": ""Jean-Marc Ingea"", ""url"": ""https://www.linkedin.com/in/jean-marc-ingea-aa41851/""}']",,,,
296,Elenas,Elenas provides a business-in-a-box solution that empowers millions of entrepreneurial women across Latin America to build their own online store.,https://elenas.co/co/,Latin America,2021.0,Retail & Consumer Tech,Consumer Marketplaces,"['{""name"": ""Zach Olschin"", ""url"": ""https://www.linkedin.com/in/zachoschin/""}']",,,,
297,Elma Farms,"Elma Farms provides all-natural, non-GMO snack products. The company started with Mediterranean-inspired snacks such as hummus, quinoa, grape leaves, and olives, but has since expanded its product portfolio to protein ball and dehydrated cheese offerings.",http://elmafarms.com,U.S. & Canada,2018.0,Food & Beverage,CPG & Consumer Products,"['{""name"": ""Cetin Amato"", ""url"": ""https://www.linkedin.com/in/cetin-amato-36553810/""}', '{""name"": ""Antonio Ellek"", ""url"": ""https://www.linkedin.com/in/antonio-ellek-1916a21/""}']",,,,
298,Empatica,"Empatica designs and builds wearable devices with clinical-quality sensing capabilities, targeting the neurological disease space with a focus on epilepsy.",https://www.empatica.com/,Europe,2016.0,Healthcare,"Wearables, Devices, & Hardware","['{""name"": ""Matteo Lai"", ""url"": ""https://www.linkedin.com/in/matteolai/""}']",Fund II,Series A,Status: Active,Invested: 2017
299,Encompass Onsite,Encompass Onsite provides a solution for property owners to effectively manage their facility maintenance operations.,http://www.encompassonsite.com,U.S. & Canada,2015.0,Enterprise Software & Services,Business Process Management,"['{""name"": ""Marcell Haywood"", ""url"": ""https://www.linkedin.com/in/marcellhaywood/""}']",,,,
300,EnduroSat,"One of the fastest growing space companies in Europe, EnduroSat designs and engineers NanoSats and shared satellite services for business applications and space exploration missions. It is focused on inter-satellite connectivity and space data applications.",https://endurosat.com/,Europe,2017.0,Smart City,Hardware,"['{""name"": ""Raycho Raychev"", ""url"": ""https://www.linkedin.com/in/raychoraychev/""}']",,,,
301,Enmedio,"Enmedio offers digital media communication services. The company offers innovative solutions aimed at corporate communication, advertising and digital marketing.",https://www.enmedio.com.co,Latin America,2014.0,Enterprise Software & Services,AdTech & MarTech,"['{""name"": ""Sebastian Obregon"", ""url"": ""https://www.linkedin.com/in/sebastianobregon/?originalSubdomain=co""}', '{""name"": ""Sebastian Molina"", ""url"": ""https://www.linkedin.com/in/sebastian-molina-uribe/?originalSubdomain=co""}', '{""name"": ""Daniel Pelaez"", ""url"": ""https://www.linkedin.com/in/daniel-pelaez-0b204b4/?originalSubdomain=co""}']",,,,
302,Entersekt,"Entersekt provides customer-centric fintech solutions for financial service providers and enterprises. Its software converts most mobile devices into a second layer authentication tool, creating a powerful weapon in the fight against financial fraud.",http://www.entersekt.com/,Africa,2015.0,Fintech,Banking,"['{""name"": ""Dewald Nolte"", ""url"": ""https://www.linkedin.com/in/dewald-nolte/""}', '{""name"": ""Schalk Nolte"", ""url"": ""https://www.linkedin.com/in/schalk-nolte-45b3b74/?originalSubdomain=za""}']",Fund II,Series C,Status: Active,Invested: 2017
303,Entic,"Entic is a cloud-based analytics company enabling customers to tackle energy efficiency challenges within commercial real estate. It provides advanced analytics which deliver real-time, actionable insight into a building’s performance and energy efficiency, ultimately generating significant savings by reducing energy consumption.",https://aquicore.com/,U.S. & Canada,2017.0,Smart City,Business Intelligence Tools,"['{""name"": ""Carlos Diaz"", ""url"": ""https://www.linkedin.com/in/entic/""}']",,,,
304,Envoys,"Envoys (formerly Off Bound Adventures) creates outdoor, educational programs that empower, challenge and inspire students of all ages to become global citizens.",,Latin America,2016.0,Education & Talent,K-12,"['{""name"": ""Angela Gomez"", ""url"": ""https://www.linkedin.com/in/angelagomezmontoya/""}']",,,,
305,Eon Dental,Eon Dental is a leading manufacturer and B2B distributor of clear dental aligners.,http://www.eonaligner.com/,Middle East,2020.0,Healthcare,"Wearables, Devices, & Hardware","['{""name"": ""Qais Sabri"", ""url"": ""https://www.linkedin.com/in/qais-sabri-5061333b/""}', '{""name"": ""Yousef Nassar"", ""url"": ""https://www.linkedin.com/in/yousefnassar/""}']",Fund III,Series C,Status: Active,Invested: 2021
306,Epitome,"Epitome is a platform that enables educational institutions, governments, and enterprises to better prepare incoming talent and better engage existing talent.",http://www.cxsinternational.com/,Asia,2018.0,Education & Talent,Workforce,"['{""name"": ""Jans Lambrechts"", ""url"": ""https://www.linkedin.com/in/janlambrechts/""}']",,,,
307,Equilife Medical,"Equilife Medical makes critical care needs more available and affordable by offering medical device rental, on-site operating staff, and maintenance services to intensive care units and homecare patients.",http://www.equilifemedical.com,Asia,2019.0,Healthcare,"Wearables, Devices, & Hardware","['{""name"": ""Abetina Valenzuela"", ""url"": ""https://www.linkedin.com/in/abetina-valenzuela-1a57ab42/""}']",,,,
308,Ergon,"Ergon is a line of affordable-luxury restaurants that are combined with functional grocery stores featuring fine high-quality products, ensuring that traditional Greek produce meets the 21st-century standards.",https://www.ergonfoods.com,Europe,2014.0,Food & Beverage,Food Retailers & Specialty Stores,"['{""name"": ""Thomas Douzis"", ""url"": """"}', '{""name"": ""George Douzis"", ""url"": """"}']",,,,
309,Etermax,Etermax is a multi-platform social game developer.,https://www.etermax.com/home/?lang=en,Latin America,2015.0,Retail & Consumer Tech,Media & Entertainment,"['{""name"": ""Maximo Cavazzani"", ""url"": ""https://www.linkedin.com/in/maximoc/""}']",,,,
310,Evam Streaming Analytics,EVAM builds platforms for customer management and engagement.,http://evam.com/,Europe,2016.0,Enterprise Software & Services,Business Intelligence Tools,"['{""name"": ""Doruk Mutlu"", ""url"": ""https://www.linkedin.com/in/dorukmutlu/?originalSubdomain=nl""}']",,,,
311,Eventtus,Evenuttus uses technology to change how people experience events.,http://www.eventtus.com,Middle East,2015.0,Retail & Consumer Tech,Tourism & Hospitality,"['{""name"": ""Mai Medhat"", ""url"": ""https://www.linkedin.com/in/maimedhat/""}', '{""name"": ""Nihal Fares"", ""url"": ""https://www.linkedin.com/in/nihalfares/""}']",,,,
312,Everli,Everli is an on-demand delivery service transforming the way people buy groceries and home essentials in Europe.,https://it.everli.com/it,Europe,2017.0,Retail & Consumer Tech,Grocery & Delivery,[],Fund II,Series B,Status: Active,Invested: 2018
