,company,description,website,region,year-selected,vertical,sub-vertical,entrepreneurs,fund,financing-round,status,year-invested
16,Acqio,"ACQIO is a fintech-focused on delivering the best payment solutions (point-of-sale terminals, card payment processing, digital sales management system) to small merchants in Brazil.",http://www.acqio.com.br/,Latin America,2019.0,Fintech,Payments,"['{""name"": ""Gustavo Danzi de Andrade"", ""url"": ""https://www.linkedin.com/in/gustavodanzi/""}']",,,,
17,AcreTrader,AcreTrader democratizes the process of selling and investing in farmland. The company is an investing and trading platform that allows accredited investors to purchase shares of U.S. farmland in just minutes online.,https://www.acretrader.com/,U.S. & Canada,2022.0,Agriculture,Financing,"['{""name"": ""Carter Malloy"", ""url"": ""https://www.linkedin.com/in/carter-malloy/""}', '{""name"": ""Garrott McClintock"", ""url"": ""https://www.linkedin.com/in/garrott-mcclintock/""}']",,,,
18,Acsendo,"Acsendo offers SMEs a low cost, easy-to-use, and customizable platform and data-driven tools to optimize talent.",httsp://www.acsendo.com,Latin America,2015.0,Education & Talent,Workforce,"['{""name"": ""Carlos Santana"", ""url"": ""https://www.linkedin.com/in/carlosalbertosantana/""}']",,,,
19,Acudeen,Acudeen is a Philippines-based fintech company that helps small and medium sized businesses bridge short term working capital gaps.,http://www.acudeen.com,Asia,2019.0,Fintech,Lending,"['{""name"": ""Mario Jordan Magellan III Fetalino"", ""url"": ""https://www.linkedin.com/in/magellanfetalino/""}']",,,,
20,Adglow,"Adglow is an online advertising technology company focused on social advertising and performance marketing. After founding and leading the company’s international expansion, Juan serves today as chairman.",http://www.adglow.com/,Europe,2016.0,Enterprise Software & Services,AdTech & MarTech,"['{""name"": ""Juan Dominguez"", ""url"": ""https://www.linkedin.com/in/juandominguez/?originalSubdomain=es""}']",,,,
21,Adobo Connection,"Adobo Connection celebrates the Philippines’ national dish by providing traditional but innovative versions of pork, chicken, and beef adobo in a fast-casual dining setting.",https://delivery.adobogroup.ph/,Asia,2016.0,Food & Beverage,Food Service,"['{""name"": ""Meredith Ngo"", ""url"": ""https://www.linkedin.com/in/meredith-ngo-11b9177""}']",,,,
22,Adphorus,Adphorus is a leading performance marketing platform and Facebook Marketing Partner based in Istanbul.,http://adphorus.com,Europe,2015.0,Enterprise Software & Services,AdTech & MarTech,"['{""name"": ""Burcu G\\u00f6b\\u00fcl\\u00fck"", ""url"": ""https://www.linkedin.com/in/burcu-gobuluk/""}', '{""name"": ""Volkan \\u00c7a\\u011fsal"", ""url"": ""https://www.linkedin.com/in/volkancagsal/""}']",,,,
23,Aemulus Holdings Bhd,Aemulus designs cheaper and faster automated test equipment (ATE) as well as test and measuring instruments (TMI) for the semiconductor industry.,http://www.aemulus.com/,Asia,2014.0,Smart City,Hardware,"['{""name"": ""Sang Beng Ng"", ""url"": ""https://www.linkedin.com/in/sangbeng/?originalSubdomain=my""}']",,,,
24,AeroSafe Global,AeroSafe Global provides end-to-end cold chain logistics solutions to the biopharmaceutical industry.,https://www.aerosafeglobal.com,U.S. & Canada,2020.0,Healthcare,Logistics Tech,"['{""name"": ""Jay McHarg"", ""url"": ""https://www.linkedin.com/in/jay-mcharg-949b8/""}']",,,,
25,Aerobotics,Aerobotics is an agtech data analytics company from South Africa.,https://about.aerobotics.io/,Africa,2020.0,Agriculture,AgTech & Data,"['{""name"": ""James Paterson"", ""url"": """"}', '{""name"": ""Benji Meltzer"", ""url"": """"}']",Fund III,Series B,Status: Active,Invested: 2020
26,Africa Healthcare Network,Africa Healthcare Network (AHN) is a network of dialysis clinics partnering with hospitals to provide high-quality life-saving dialysis at an affordable cost in the underserved Sub-Saharan Africa market.,http://www.africahealthcarenetwork.com/,Africa,2021.0,Healthcare,Healthcare Services,"['{""name"": ""Nikhil Pereira-Kamath"", ""url"": ""https://www.linkedin.com/in/nikhil-pereira-kamath/""}']",,,,
27,Africa’s Talking,"Africa’s Talking is the leading customer engagement platform in Sub-saharan Africa, working with the fastest growing startups in the region to help them build highly personalized communication and payment experiences for customers.",https://www.africastalking.com,Africa,2018.0,Enterprise Software & Services,Cloud Communications,"['{""name"": ""Samuel Gikandi"", ""url"": ""https://www.linkedin.com/in/samuel-gikandi-6246aa14/?originalSubdomain=ke""}']",,,,
28,AgIdea,AgIdea developed a contract research platform which provides scientific support to R&D and regulatory projects.,https://www.agidea.com.ar/,Latin America,2015.0,Agriculture,Agricultural Sciences,"['{""name"": ""Gonzalo Grigera"", ""url"": ""https://www.linkedin.com/in/gonzalo-grigera-272385b4?trk=pub-pbmap""}', '{""name"": ""Mariano Battista"", ""url"": ""https://www.linkedin.com/in/mariano-battista-bb919889""}']",,,,
29,Agate,"Agate Studio is a game development studio, creating a wide array of B2C games available on mobile apps and online, including the popular and award-winning Football Saga 2.",https://www.agatestudio.com/,Asia,2014.0,Retail & Consumer Tech,Media & Entertainment,"['{""name"": ""Arief Widhiyasa"", ""url"": ""https://www.linkedin.com/in/ariefwidhiyasa/""}']",,,,
